RAUMID,LORNAME,EINWOHNER,AUSLAENDER,ANTEIL
11030721,Ruedigerstrasse,19377,1377,7
11030824,Frankfurter Allee Sued,9884,1419,14
11040925,Victoriastadt,3113,263,8
11040926,Weitlingstrasse,24625,1618,7
11041022,Rosenfelder Ring,4752,361,8
11041023,Gensinger Strasse,5615,532,9
11041027,Tierpark,2666,161,6
11041128,Sewanstrasse,24319,2216,9
11051229,Rummelsburg,2528,131,5
11051330,Karlhorst West,7279,442,6
11051331,Karlshorst Nord,8803,316,4
11051332,Karlshorst Sued,5034,194,4
12103115,Breitkopfbecken,6914,1063,15
12103116,Hausotterplatz,8427,1454,17
12103117,Letteplatz,9039,1702,19
12103218,Teichstrasse,12096,1735,14
12103219,Schaefersee,7971,1100,14
12103220,Humboldtstrasse,4445,366,8
12214125,Waldidyll/Flughafensee,6075,428,7
12214126,Tegel-Sued,7517,847,11
12214421,Reinickes Hof,2254,226,10
12214422,Klixstr.,7176,1487,21
12214423,Mellerbogen,5425,622,11
12214424,Scharnweberstr.,9246,1724,19
12214527,Alt-Tegel,10092,861,9
12214528,Tegeler Forst,211,15,7
12224229,Konradshoehe/Tegelort,5957,234,4
12224230,Heiligensee,17610,575,3
12231101,Hermsdorf,16390,638,4
12231102,Frohnau,16942,646,4
12301203,Wittenau-Sued,12889,998,8
12301204,Wittenau-Nord,5904,364,6
12301205,Waidmannslust,4884,252,5
12301206,Luebars,4908,179,4
12302107,Schorfheidestr.,2861,212,7
12302108,Maerkisches Zentrum,12774,1341,11
12302109,Treuenbrietzener Str.,9991,1703,17
12302110,Dannenwalder Weg,9263,1277,14
12302211,Luebarser Strasse,3212,179,6
12302212,Rollbergesiedlung,5008,472,9
12304313,Borsigwalde,6239,381,6
12304314,Ziekowstrasse/Freie Scholle,9707,394,4
